ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9125977,-0.3583984,0.1450195,0.8574219,0.5375977,0.3544922,-1,-2,-2,-2,-1,0,-1,-4,2,-10,-10,-4,2,0,-1,-1,-2.0625,-2.0625,-2.0625,-19.5625,-19.5625,-19.5625,3.097407,3.131978,2.835143,6.47785,3.551082,0.1983626,0.01922641,-0.4379331,1.601236,0.3490682,-0.390144,1.506973,0.2285955,0.3970532,1.716578,0.06462569,-0.4179653,1.5786,0.3572364,-0.3757441,1.462046,0.2163929,-0.06859738,1.707779,0.2095084,-0.3921588,1.688921,0.04167907,0.11536,1.700795,0.1211814,-0.3836756,1.65855,0.005249808,-0.1493352,1.704752,0.4240359,-0.134619,1.686374,NA,NA,NotTracked,Unknown,
0.9306641,-0.3701172,0.1376953,0.7143555,0.6787109,0.4609375,1,-1,-2,-3,-1,-2,-1,1,-3,-4,-16,-6,4,-4,-2,-1,-0.6875,-0.6875,-0.6875,-11.875,-11.875,-11.875,3.095399,3.131032,2.832785,6.471299,3.769161,0.1715154,0.02033573,-0.4402388,1.600433,0.3433774,-0.3602166,1.478743,0.2283989,0.3970657,1.716384,0.06325875,-0.428919,1.576,0.3589045,-0.3621435,1.426296,0.2160316,-0.06864249,1.70759,0.2088024,-0.392338,1.688755,0.04154667,0.1153751,1.700117,0.120436,-0.3836185,1.658379,0.005039089,-0.1487087,1.704475,0.4246546,-0.132226,1.687436,NA,NA,NotTracked,Unknown,
0.9213867,-0.3505859,0.1401367,0.5839844,0.6806641,0.5244141,-1,-3,-2,0,-1,0,1,-1,-13,19,10,0,9,2,-1,3,-7.125,-7.125,-7.125,-16.5,-16.5,-16.5,3.097922,3.129416,2.825393,6.463115,3.97468,0.1417532,0.02038005,-0.4432875,1.598515,0.3269953,-0.3308002,1.469911,0.2283389,0.397037,1.716295,0.0628303,-0.4345355,1.574701,0.3550942,-0.2834768,1.455075,0.21593,-0.06864405,1.707486,0.2083179,-0.3923776,1.68874,0.04148453,0.1153333,1.700082,0.1199517,-0.3835003,1.658295,0.004835382,-0.1482411,1.704264,0.4255653,-0.1279124,1.689283,NA,NA,NotTracked,Unknown,
0.9213867,-0.3515625,0.1401367,0.5952148,0.7226563,0.5571289,-1,-4,-4,-2,-3,-3,-2,-3,-1,8,18,7,10,-2,0,-4,-1.1875,-1.1875,-1.1875,-11.125,-11.125,-11.125,3.096395,3.128617,2.819371,6.464569,4.198953,0.106876,0.02046124,-0.445382,1.598843,0.3280852,-0.2751076,1.416783,0.2282762,0.3970419,1.716124,0.06224987,-0.4414721,1.573745,0.3408362,-0.2617233,1.366923,0.2157019,-0.06860756,1.707479,0.207994,-0.3923092,1.688774,0.04147496,0.1153613,1.700074,0.1196874,-0.3833837,1.658259,0.004817524,-0.1482085,1.704257,0.4264327,-0.1199512,1.689798,NA,NA,NotTracked,Unknown,
0.9296875,-0.3500977,0.1411133,0.4321289,0.7773438,0.6328125,0,0,0,-2,-2,-1,-2,-1,8,8,-5,7,14,-5,3,3,-1.3125,-1.3125,-1.3125,-12.6875,-12.6875,-12.6875,3.095274,3.128343,2.817376,6.445159,4.553889,0.06864688,0.02099201,-0.4426308,1.598225,0.325529,-0.2087686,1.387652,0.2281495,0.3969728,1.715862,0.0642857,-0.4242871,1.576479,0.3408889,-0.1952163,1.340952,0.2156942,-0.06859607,1.707411,0.2079765,-0.3922766,1.688758,0.04141544,0.1153247,1.699926,0.1196925,-0.3833773,1.658253,0.004790823,-0.1479233,1.703995,0.4279504,-0.1099076,1.68637,NA,NA,NotTracked,Unknown,
0.9331055,-0.3540039,0.1289063,0.2851563,0.9580078,0.7226563,1,-1,-2,0,0,-1,2,-1,1,-7,-9,-2,13,11,-6,-8,4.3125,4.3125,4.3125,-23.0625,-23.0625,-23.0625,3.098869,3.127859,2.822129,6.42473,4.897163,0.05929986,0.02084856,-0.4420144,1.599278,0.3178393,-0.1234866,1.370231,0.2279852,0.3970406,1.715603,0.06345531,-0.4454321,1.573912,0.345075,-0.1102167,1.353048,0.2157301,-0.06858046,1.707392,0.2080263,-0.3922384,1.688766,0.04125948,0.1153391,1.700017,0.1197859,-0.3834383,1.658302,0.004687604,-0.1474074,1.703943,0.4896652,-0.1086499,1.633587,NA,NA,NotTracked,Closed,
0.9135742,-0.3310547,0.1123047,-0.4345703,0.6855469,0.5136719,-1,-2,-3,-3,-1,-1,-3,-2,-1,-6,-8,0,2,2,-5,3,8.875,8.875,8.875,-56.5625,-56.5625,-56.5625,3.099801,3.12511,2.836152,6.351305,5.31893,0.05871711,0.021937,-0.4452265,1.600346,0.3162047,-0.0135215,1.397974,0.2278637,0.3971173,1.715454,0.06597425,-0.4324477,1.576546,0.3331681,-0.02384409,1.356419,0.2156796,-0.06852894,1.707417,0.2080287,-0.3920631,1.688894,0.04123792,0.1154321,1.700089,0.1198607,-0.3834497,1.658912,0.004406961,-0.1463037,1.704199,0.4322866,-0.09771812,1.617136,NA,NA,NotTracked,Unknown,
0.8955078,-0.3901367,0.1513672,-0.5581055,0.5449219,0.5454102,-1,1,0,-1,-1,0,-3,0,4,4,7,-1,8,-1,-2,-5,-3.875,-3.875,-3.875,-5.6875,-5.6875,-5.6875,3.089605,3.120465,2.846714,6.31098,5.69623,0.088163,0.02038843,-0.4428681,1.604105,0.3258108,0.07321128,1.43614,0.2279096,0.3969817,1.715242,0.06569353,-0.4127007,1.579652,0.3434571,0.08495259,1.391688,0.2156022,-0.06861752,1.707512,0.207909,-0.3922347,1.68928,0.04130287,0.1155254,1.70019,0.1197171,-0.3838265,1.659287,0.004254734,-0.1461411,1.704507,0.4311497,-0.09939793,1.620028,NA,NA,NotTracked,Unknown,
0.9438477,-0.3740234,0.1513672,-0.6494141,0.5791016,0.5527344,-2,-1,-1,-1,-3,-1,-1,-2,-12,-3,-1,-2,1,2,-8,-4,-4,-4,-4,2.6875,2.6875,2.6875,3.088475,3.121748,2.846071,6.372058,6.132681,0.1554911,0.02078978,-0.446416,1.602283,0.3306236,0.1588899,1.465652,0.2277816,0.3969727,1.715015,0.06298903,-0.4625919,1.573522,0.3581692,0.1598775,1.436206,0.2154959,-0.06883612,1.707711,0.2075133,-0.3929417,1.689655,0.04118833,0.1158125,1.700561,0.1190316,-0.3850044,1.660277,0.004569981,-0.1455434,1.705034,0.4432602,-0.09681241,1.590932,NA,NA,NotTracked,Unknown,
0.9194336,-0.3618164,0.1538086,-0.7304688,0.5273438,0.4868164,0,-1,-1,-1,0,-1,-1,-1,-3,2,1,-3,6,-2,-2,-5,0.5625,0.5625,0.5625,12.875,12.875,12.875,3.097513,3.134534,2.832819,6.459768,6.397868,0.2488785,0.02116556,-0.4428619,1.601659,0.3455474,0.1906515,1.496568,0.2276435,0.3968542,1.714912,0.06504736,-0.4312846,1.577879,0.3674905,0.2011281,1.460559,0.2158867,-0.06925785,1.708959,0.2073179,-0.3930129,1.690098,0.04115467,0.1161709,1.701332,0.1184867,-0.38509,1.661222,0.004939536,-0.1428228,1.705971,0.4469151,-0.08961248,1.578086,NA,NA,NotTracked,Unknown,
