ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.08251953,-0.1791992,1.094727,-0.1420898,-0.8076172,0.4003906,-1,4,6,-31,0,-1,1,-5,-2,0,-1,53,-13,-15,1,-5,-2.6875,-2.6875,-2.6875,-34.625,-34.625,-34.625,4.815609,4.833382,1.402061,3.157731,5.076312,4.799897,0.2130099,-0.2262026,0.7336336,0.3662378,0.03457768,0.6939816,0.471189,0.3071013,0.7472404,0.2319405,-0.2417376,0.675261,0.4284815,0.04584189,0.6740233,0.3714537,-0.05676642,0.779588,0.3481611,-0.3497607,0.8059803,0.2671947,0.1128152,0.7509523,0.2764373,-0.3249535,0.799503,0.1358726,-0.05544176,0.8173212,0.4290844,-0.2035962,0.6799803,NA,NA,NotTracked,NotTracked,
0.08251953,-0.1791992,1.094727,-0.2290039,-0.793457,0.3242188,-1,4,6,-31,0,-1,1,-5,-2,3,-2,-93,-4,47,4,-5,-2.6875,-2.6875,-2.6875,9.8125,9.8125,9.8125,4.815609,4.833382,1.402061,3.149617,5.153368,4.747692,0.2592756,-0.2611303,0.6881239,0.3601252,0.03287198,0.705415,0.4695619,0.3135959,0.7367024,0.2417658,-0.2163221,0.6822941,0.4183286,0.04901367,0.682375,0.3919276,-0.04980724,0.7972488,0.3517969,-0.3466905,0.8120199,0.2943436,0.1111036,0.7677882,0.2785751,-0.3228062,0.8043458,0.1482298,-0.05775985,0.8255323,0.4408387,-0.1877524,0.6913425,NA,NA,NotTracked,NotTracked,
0.08251953,-0.1791992,1.094727,-0.1567383,-0.8129883,0.3203125,-1,4,6,-31,0,-1,1,-5,-4,-5,-2,-37,-12,19,4,-5,-2.6875,-2.6875,-2.6875,1.6875,1.6875,1.6875,4.815609,4.833382,1.402061,3.15871,5.155109,4.761875,0.2675752,-0.2637087,0.6866016,0.2232636,-0.1904613,0.7636101,0.4832011,0.317274,0.7437592,0.2537918,-0.3141566,0.633,0.200285,-0.1318716,0.7723056,0.4061461,-0.04772306,0.8054523,0.3660866,-0.3459791,0.8209196,0.3036662,0.1118365,0.7751051,0.2936989,-0.3211465,0.8139548,0.1637043,-0.0648037,0.8322342,0.4468681,-0.185404,0.6978391,NA,NA,NotTracked,NotTracked,
0.08251953,-0.1791992,1.094727,-0.1367188,-0.8295898,0.3232422,-1,4,6,-31,0,-1,1,-5,-1,-2,0,27,11,-38,0,0,-2.6875,-2.6875,-2.6875,-7.0625,-7.0625,-7.0625,4.815609,4.833382,1.402061,3.154811,5.140524,4.775952,0.2807316,-0.2664985,0.683244,0.2293721,-0.1867703,0.7746007,0.5056279,0.3205159,0.7586164,0.2585519,-0.2829513,0.6532727,0.2120253,-0.1318808,0.7775483,0.4096784,-0.04835573,0.8121795,0.3672577,-0.3488156,0.8320397,0.3086924,0.1110661,0.7801979,0.2941989,-0.3245407,0.8318108,0.176707,-0.0690041,0.8383542,0.4521011,-0.1861509,0.7038195,NA,NA,NotTracked,NotTracked,
0.08251953,-0.1791992,1.094727,-0.2070313,-0.9614258,0.3691406,-1,4,6,-31,0,-1,1,-5,-2,-6,-2,33,2,50,1,3,-2.6875,-2.6875,-2.6875,-12.625,-12.625,-12.625,4.815609,4.833382,1.402061,3.142653,5.107916,4.795032,0.290628,-0.2662061,0.6879302,0.2418548,-0.1857958,0.7798057,0.4944606,0.3195474,0.762293,0.2662165,-0.2744281,0.6578,0.2247059,-0.1303644,0.782913,0.4198439,-0.05083671,0.8248013,0.3728307,-0.3509144,0.8426226,0.3227576,0.1107752,0.7981435,0.2983426,-0.3264356,0.8374235,0.1898416,-0.07261586,0.8442808,0.4578277,-0.1880867,0.713726,NA,NA,NotTracked,NotTracked,
0.08251953,-0.1791992,1.094727,-0.21875,-1.090332,0.4331055,-1,4,6,-31,0,-1,1,-5,-4,-2,0,17,1,32,-2,2,-2.6875,-2.6875,-2.6875,-1.375,-1.375,-1.375,4.815609,4.833382,1.402061,3.133517,5.078394,4.820976,0.3027836,-0.2660791,0.6910347,0.2574665,-0.1874982,0.7834608,0.4715445,0.3036775,0.7601807,0.2979939,-0.2479222,0.6572999,0.2443273,-0.1332496,0.7872221,0.4309238,-0.05447614,0.8319451,0.3838698,-0.3574197,0.8488629,0.3236179,0.1137658,0.8114225,0.3075018,-0.3276314,0.8356822,0.2028449,-0.07403928,0.8547246,0.4661592,-0.1889007,0.7225178,NA,NA,NotTracked,NotTracked,
0.08251953,-0.1791992,1.094727,-0.1889648,-1.053711,0.3964844,-1,4,6,-31,0,-1,1,-5,-4,-2,-3,-34,-3,111,-3,-3,-2.6875,-2.6875,-2.6875,33.6875,33.6875,33.6875,4.815609,4.833382,1.402061,3.163461,5.069846,4.842074,0.3100722,-0.2669109,0.7036639,0.2726021,-0.1877975,0.7886046,0.4429894,0.2663584,0.7788365,0.3127347,-0.2657952,0.6528462,0.2562587,-0.1336616,0.79304,0.4372573,-0.06730511,0.8529507,0.3744551,-0.3969841,0.8906245,0.505554,-0.02796859,0.7495968,0.3678261,-0.3932331,0.8722675,0.278163,-0.06723497,0.8354819,0.475159,-0.1860645,0.7347313,NA,NA,NotTracked,NotTracked,
0.08251953,-0.1791992,1.094727,-0.1567383,-1.029297,0.3833008,-1,4,6,-31,0,-1,1,-5,-2,3,4,29,0,77,2,-2,-2.6875,-2.6875,-2.6875,26.8125,26.8125,26.8125,4.815609,4.833382,1.402061,3.175622,5.078648,4.84607,0.3452688,-0.2927294,0.6773696,0.2871539,-0.1876054,0.7950192,0.4469033,0.2352282,0.8066428,0.3858061,-0.2586483,0.6966,0.2692758,-0.1352272,0.7983599,0.4569151,-0.05291139,0.8632841,0.4068325,-0.3567494,0.8929821,0.3485026,0.1136226,0.8463635,0.3209239,-0.3191406,0.8871411,0.230318,-0.08176558,0.8706006,0.4855368,-0.1776133,0.7454147,NA,NA,NotTracked,NotTracked,
0.08251953,-0.1791992,1.094727,-0.1723633,-0.9213867,0.3012695,-1,4,6,-31,0,-1,1,-5,-5,-4,-3,-23,-2,-63,-1,2,-2.6875,-2.6875,-2.6875,-8.75,-8.75,-8.75,4.815609,4.833382,1.402061,3.166606,5.122014,4.835674,0.3587229,-0.2927501,0.6829401,0.3011658,-0.1921917,0.8004162,0.4720378,0.220144,0.8281826,0.402676,-0.2587008,0.6996667,0.2807778,-0.1433854,0.803591,0.4656986,-0.04606858,0.8732787,0.4076871,-0.3572195,0.8968182,0.3523142,0.1122396,0.8494148,0.3196748,-0.3206256,0.8896737,0.2451261,-0.0839001,0.8771209,0.498087,-0.1620822,0.7565281,NA,NA,NotTracked,NotTracked,
0.08251953,-0.1791992,1.094727,-0.2294922,-0.9291992,0.3427734,-1,4,6,-31,0,-1,1,-5,-3,-3,-1,54,-1,114,2,2,-2.6875,-2.6875,-2.6875,-20.25,-20.25,-20.25,4.815609,4.833382,1.402061,3.15263,5.148862,4.827026,0.3410854,-0.2095816,0.7712366,0.3202199,-0.2097212,0.7896224,0.4857066,0.1937175,0.8747489,0.3712988,-0.2137276,0.7418182,0.3003204,-0.1833518,0.79155,0.4905175,-0.02863631,0.896542,0.448691,-0.3305784,0.9281635,0.5619581,0.277151,0.8243073,0.4713878,-0.3099571,0.9337026,0.4024342,0.08847892,0.8512909,0.4912912,-0.07636373,0.7729887,NA,NA,NotTracked,NotTracked,
