ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9331055,-0.3413086,0.1152344,0.8994141,0.371582,0.1181641,-1,-3,-3,-2,-1,0,-1,-1,-2,-2,-2,0,-2,-3,1,-1,0.125,0.125,0.125,0.1875,0.1875,0.1875,3.018604,3.096382,2.667366,6.985769,3.146031,8.028697,0.004327681,-0.4325877,1.528933,0.3878985,-0.4371829,1.473333,0.2324337,0.4000322,1.618943,-0.0450548,-0.4526733,1.539587,0.3437141,-0.4228038,1.474839,0.2173566,-0.06564462,1.618211,0.2125399,-0.3892651,1.600759,0.04168905,0.1265278,1.614661,0.1247021,-0.3795463,1.569597,-0.003060204,-0.1426529,1.623806,0.4304224,-0.1355996,1.59102,NA,NA,NotTracked,NotTracked,
0.9375,-0.3530273,0.1206055,0.909668,0.3745117,0.1201172,0,1,-1,0,-1,-1,-1,0,-4,-5,-4,-2,-2,-1,0,-1,-0.5,-0.5,-0.5,2.3125,2.3125,2.3125,3.018604,3.096382,2.667366,6.984849,3.145862,8.032532,0.003871465,-0.4337385,1.528658,0.3875784,-0.4378518,1.473991,0.232381,0.3999655,1.618937,-0.04545287,-0.4517798,1.541916,0.3430644,-0.423568,1.474008,0.2173176,-0.06565975,1.618216,0.2125164,-0.3892926,1.600739,0.04167559,0.1264944,1.614656,0.1246847,-0.3795794,1.569566,-0.00294847,-0.1433661,1.623913,0.4303198,-0.1356477,1.591074,NA,NA,NotTracked,NotTracked,
0.9321289,-0.3398438,0.1171875,0.902832,0.390625,0.125,0,-1,-1,0,-2,-2,0,-2,2,0,-1,1,1,0,-4,-1,0.5625,0.5625,0.5625,-22.3125,-22.3125,-22.3125,3.019178,3.096778,2.668034,6.946752,3.173768,8.039994,0.004340171,-0.4338044,1.529058,0.3868195,-0.4365925,1.472242,0.232387,0.3999589,1.618974,-0.04491044,-0.4527181,1.53998,0.3425689,-0.4245551,1.473389,0.2172523,-0.06565232,1.618299,0.2125097,-0.3892957,1.600749,0.04169432,0.1264682,1.614667,0.1246823,-0.3795854,1.569562,-0.002868063,-0.143286,1.624176,0.4304039,-0.1359328,1.591293,NA,NA,NotTracked,NotTracked,
0.9296875,-0.3408203,0.1020508,0.8496094,0.440918,0.2080078,-4,-2,-2,-1,0,1,-3,-3,0,-4,-2,-3,-2,-2,0,0,0.9375,0.9375,0.9375,-2.0625,-2.0625,-2.0625,3.018562,3.096262,2.668053,6.907583,3.21881,8.065316,0.00394717,-0.432712,1.529026,0.3841316,-0.4339061,1.466741,0.2323632,0.3999194,1.618996,-0.04510091,-0.4449154,1.539985,0.3409431,-0.4182799,1.472862,0.2171771,-0.06565792,1.618321,0.2123683,-0.3892864,1.600771,0.04168704,0.1263503,1.614704,0.1245495,-0.3796029,1.569596,-0.002917981,-0.1431121,1.624321,0.4306791,-0.1358942,1.591679,NA,NA,NotTracked,NotTracked,
0.9233398,-0.3422852,0.1206055,0.8022461,0.4331055,0.2114258,-1,0,0,0,0,0,0,-1,3,0,-2,0,-4,0,1,-1,-1.8125,-1.8125,-1.8125,9.3125,9.3125,9.3125,3.017872,3.094605,2.664915,6.908516,3.255081,8.075293,0.003719464,-0.4338161,1.529202,0.3829767,-0.4287578,1.46121,0.2323417,0.3999303,1.619025,-0.04677233,-0.4621338,1.544714,0.340324,-0.4083447,1.473853,0.2171681,-0.06564689,1.61833,0.2122434,-0.3892509,1.60083,0.04168679,0.1263232,1.614721,0.1244184,-0.3795907,1.569628,-0.002938431,-0.1432149,1.624375,0.4313512,-0.1346637,1.591741,NA,NA,NotTracked,NotTracked,
0.9375,-0.3442383,0.1162109,1.09375,0.3798828,0.01269531,0,-2,-1,0,-1,-2,-3,-1,-4,-9,-17,-12,-12,1,10,1,-0.5,-0.5,-0.5,-54.3125,-54.3125,-54.3125,3.017371,3.093547,2.66376,6.891271,3.298178,8.047012,0.004609045,-0.4322847,1.529243,0.3831925,-0.4251007,1.456045,0.2323233,0.3999336,1.619094,-0.04257951,-0.4376411,1.533179,0.3583365,-0.4178355,1.486207,0.2171425,-0.0656429,1.618343,0.2122005,-0.3892483,1.600842,0.0416831,0.1263044,1.614748,0.1243885,-0.3795911,1.569627,-0.002878778,-0.1432372,1.624418,0.4317897,-0.1337773,1.591444,NA,NA,NotTracked,Unknown,
0.9394531,-0.3491211,0.1118164,1.09082,0.6259766,0.2666016,-1,-3,-9,0,-1,-2,-1,-1,1,2,1,-6,-1,3,4,0,4.875,4.875,4.875,5,5,5,3.024058,3.097109,2.661345,6.786512,3.424714,8.134415,0.004992626,-0.4334999,1.52962,0.3745292,-0.4035856,1.435657,0.2323047,0.3999141,1.619188,-0.04127819,-0.4352269,1.533742,0.3400884,-0.4369009,1.451,0.2171281,-0.0656599,1.618369,0.2119108,-0.3892029,1.600937,0.04171154,0.1263037,1.614821,0.1240068,-0.3795792,1.569676,-0.00280031,-0.1430959,1.624565,0.4327997,-0.1339234,1.591187,NA,NA,NotTracked,Unknown,
0.9277344,-0.3349609,0.09472656,0.8266602,0.7788086,0.4619141,-1,-3,-2,-2,-1,-2,-1,-1,-4,6,-1,-6,-14,-5,-11,-18,2.1875,2.1875,2.1875,26.625,26.625,26.625,3.029304,3.099088,2.664108,6.719793,3.696842,8.259721,0.005345937,-0.4336669,1.531415,0.3338154,-0.3491329,1.438822,0.2322563,0.3998346,1.619552,-0.04251315,-0.4396644,1.536609,0.3461191,-0.4324769,1.4644,0.2160686,-0.06564268,1.618904,0.2086513,-0.3888767,1.601667,0.04173479,0.1261967,1.61523,0.1204223,-0.3788947,1.570301,-0.002904004,-0.1421465,1.62543,0.4523527,-0.1096255,1.600118,NA,NA,NotTracked,Unknown,
0.9047852,-0.3569336,0.1308594,0.4038086,0.8950195,0.4560547,0,-2,-1,0,0,-2,0,-2,-4,-25,-14,3,24,0,-2,-1,-7.3125,-7.3125,-7.3125,25.0625,25.0625,25.0625,3.019995,3.095591,2.665331,6.737842,4.212034,8.355012,0.004338424,-0.4327095,1.530399,0.314448,-0.2633772,1.386743,0.2321986,0.3997955,1.619535,-0.04376625,-0.4322383,1.543643,0.2948581,-0.3219462,1.443567,0.2152087,-0.06552746,1.618956,0.2061231,-0.3885109,1.601745,0.04172389,0.126196,1.615268,0.1183741,-0.3783715,1.570361,-0.003033621,-0.1415322,1.625647,0.4597871,-0.09481644,1.597943,NA,NA,NotTracked,Unknown,
0.9389648,-0.3266602,0.1030273,0.1132813,0.8344727,0.3325195,-1,-1,-2,0,-1,-2,-1,0,-6,47,34,9,-24,-1,-12,-12,-1.5625,-1.5625,-1.5625,21.1875,21.1875,21.1875,3.000672,3.089175,2.679717,6.76034,4.642998,8.394808,0.003715431,-0.4333069,1.53252,0.2965351,-0.158419,1.37024,0.2322199,0.3997908,1.619573,-0.04594048,-0.4464794,1.543232,0.2499368,-0.1856443,1.449075,0.2150536,-0.06545189,1.619158,0.2058982,-0.3882763,1.601956,0.04176082,0.1263786,1.615581,0.1182971,-0.378236,1.570654,-0.00240909,-0.1396209,1.626867,0.4712196,-0.09021716,1.589893,NA,NA,NotTracked,Unknown,
