ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9101563,-0.387207,0.1499023,0.8862305,0.3588867,0.2084961,0,1,1,-1,0,0,-1,0,-1,-1,-2,-1,-1,1,0,-2,0.375,0.375,0.375,1.0625,1.0625,1.0625,3.100817,3.190151,2.916761,6.699463,3.185932,6.16325,-0.00806598,-0.4042422,1.485409,0.3052862,-0.4133307,1.470505,0.1824574,0.4058255,1.606774,0.03194526,-0.3927504,1.466951,0.262029,-0.3813013,1.45739,0.1678443,-0.06355838,1.605638,0.1610556,-0.3881869,1.584495,-0.006830682,0.1435683,1.590873,0.07350085,-0.3791356,1.552351,-0.03977329,-0.1394056,1.583933,0.3622614,-0.1342658,1.572343,NA,NA,NotTracked,NotTracked,
0.9145508,-0.3828125,0.1669922,0.8930664,0.3637695,0.2084961,-3,0,-2,-3,-1,-1,-8,0,-1,-3,-1,-1,1,3,-1,1,-0.8125,-0.8125,-0.8125,1.0625,1.0625,1.0625,3.101615,3.190018,2.916214,6.697401,3.184919,6.168249,-0.003187939,-0.422325,1.480544,0.306082,-0.410393,1.471077,0.1823875,0.4057621,1.606526,0.03520124,-0.4252967,1.460257,0.2629539,-0.3777645,1.458353,0.1677589,-0.06356671,1.605425,0.1612295,-0.3881846,1.584296,-0.006864698,0.1435149,1.590827,0.07361488,-0.3791253,1.552194,-0.03944204,-0.1406886,1.58342,0.3622464,-0.1342055,1.572099,NA,NA,NotTracked,NotTracked,
0.909668,-0.3837891,0.1533203,0.8847656,0.3662109,0.2001953,-2,-4,0,-1,0,-1,-6,0,3,-1,-1,0,-9,3,-2,-2,0.0625,0.0625,0.0625,1.1875,1.1875,1.1875,3.101673,3.189848,2.916233,6.697941,3.183685,6.169753,-0.0005735693,-0.4240687,1.480077,0.3061215,-0.4073555,1.471478,0.1823174,0.4054849,1.605858,0.04102636,-0.409604,1.460054,0.2614782,-0.3853447,1.455914,0.1676242,-0.06371982,1.604964,0.1613356,-0.3882666,1.584009,-0.006904214,0.1434461,1.590676,0.07369658,-0.379214,1.551844,-0.03961316,-0.1406251,1.583189,0.3620214,-0.1343637,1.571741,NA,NA,NotTracked,NotTracked,
0.9121094,-0.3891602,0.1591797,0.8920898,0.3598633,0.2109375,-2,-6,-5,-7,0,0,4,-1,-3,0,-2,0,-5,-4,-1,0,0.1875,0.1875,0.1875,1.125,1.125,1.125,3.101794,3.189579,2.915674,6.696826,3.183161,6.172219,-0.000879444,-0.421248,1.480734,0.3056504,-0.4072042,1.470564,0.1823045,0.4055142,1.605398,0.04104357,-0.4063766,1.46,0.261294,-0.3793198,1.455829,0.1674971,-0.06371412,1.604498,0.161257,-0.388211,1.583782,-0.006936299,0.1434159,1.590509,0.07361241,-0.3791283,1.551532,-0.03982324,-0.1403835,1.582903,0.3619657,-0.1342717,1.57149,NA,NA,NotTracked,NotTracked,
0.9042969,-0.3808594,0.1513672,0.8857422,0.3579102,0.1982422,-1,-2,-2,-4,-2,-4,6,-1,6,8,2,-2,-1,-4,-2,-1,0.125,0.125,0.125,1.25,1.25,1.25,3.101852,3.189408,2.915693,6.696045,3.183438,6.173493,-0.007605237,-0.3952543,1.486172,0.3059516,-0.4070738,1.470315,0.1821341,0.4057072,1.60477,0.03360178,-0.3724731,1.466803,0.2614246,-0.383776,1.455612,0.1674837,-0.06358916,1.603767,0.161389,-0.3880424,1.583356,-0.006987017,0.1434313,1.590317,0.0737688,-0.3789109,1.550984,-0.04004452,-0.1395803,1.58224,0.3621275,-0.1351271,1.570308,NA,NA,NotTracked,NotTracked,
0.9130859,-0.3842773,0.1538086,0.9350586,0.3706055,0.1713867,-2,1,-2,-5,-6,-15,-45,-7,-5,-23,-5,1,-2,-2,0,-3,0.0625,0.0625,0.0625,-26.1875,-26.1875,-26.1875,3.10202,3.189268,2.915792,6.689714,3.189356,6.162597,-0.009218129,-0.3886735,1.487935,0.3059619,-0.4070578,1.470581,0.182045,0.4057181,1.604439,0.03371413,-0.3627889,1.467341,0.2583419,-0.3964829,1.451733,0.1682481,-0.06354656,1.603988,0.1611995,-0.3880141,1.583165,-0.007034341,0.1434091,1.590153,0.07360747,-0.378852,1.550754,-0.03991448,-0.1408877,1.581311,0.3620284,-0.1351152,1.570056,NA,NA,NotTracked,NotTracked,
0.9580078,-0.4716797,0.1411133,0.9648438,0.3710938,0.1762695,-3,2,0,-2,-12,-12,-3,-2,-1,-4,-7,-2,-1,0,1,4,91.5,91.5,91.5,-82.6875,-82.6875,-82.6875,3.148965,3.209853,2.952499,6.635748,3.234983,6.108963,-0.008143479,-0.4041143,1.477229,0.3045882,-0.4055636,1.466285,0.1819381,0.4056202,1.603901,0.03193292,-0.3915171,1.464975,0.2620074,-0.3753467,1.457369,0.1679914,-0.06367925,1.603434,0.1612019,-0.3881015,1.582891,-0.007160397,0.1433257,1.589943,0.07359821,-0.3790058,1.550428,-0.04047732,-0.1396446,1.58171,0.3621696,-0.1350056,1.570251,NA,NA,NotTracked,NotTracked,
1.078125,-0.3793945,0.1147461,0.8955078,0.5327148,0.3535156,4,1,0,1,1,7,30,11,-17,-5,-2,0,0,-4,-8,-6,104.5,104.5,104.5,-74.4375,-74.4375,-74.4375,3.26394,3.273846,3.026241,6.540177,3.344506,6.072773,0.004615874,-0.4061157,1.44797,0.291449,-0.4116859,1.443489,0.1817128,0.4054123,1.602963,0.03883337,-0.4217288,1.459902,0.2538654,-0.4097829,1.448327,0.1677234,-0.06432895,1.602735,0.1611354,-0.389561,1.582372,-0.008272714,0.1336267,1.58706,0.07336741,-0.3807577,1.549884,-0.04277684,-0.1342868,1.586365,0.3636313,-0.1329974,1.573264,NA,NA,NotTracked,NotTracked,
0.8208008,-0.5527344,0.590332,0.7944336,0.5883789,0.5141602,-7,-9,5,-19,-19,-9,-41,-16,-13,-5,-2,-7,0,-3,0,1,94.5625,94.5625,94.5625,-91.25,-91.25,-91.25,3.587786,3.513923,3.003258,6.338845,3.58068,6.072885,-0.001945188,-0.3653766,1.412112,0.2879238,-0.3795791,1.414667,0.1814578,0.4054877,1.601935,0.03357838,-0.3860382,1.4332,0.2643409,-0.4023151,1.438156,0.1673736,-0.06428675,1.601921,0.1609262,-0.3895885,1.582152,-0.007935042,0.1371691,1.58691,0.07306191,-0.3807089,1.549546,-0.04394122,-0.1304286,1.59212,0.365178,-0.1290755,1.577503,NA,NA,Unknown,Unknown,
0.7636719,-0.5336914,0.5957031,0.6513672,0.6269531,0.5537109,4,-1,1,3,5,18,36,9,13,2,1,-7,-3,4,2,27,95.4375,95.4375,95.4375,-59.875,-59.875,-59.875,3.663773,3.584533,2.977178,6.221251,3.817817,6.078465,0.008597487,-0.3231605,1.393795,0.2614851,-0.3488083,1.394259,0.1811355,0.4057,1.600983,0.03726389,-0.3470051,1.34275,0.2141182,-0.3792165,1.440729,0.1671213,-0.06419571,1.601582,0.1608793,-0.3895971,1.582116,-0.007780877,0.1393061,1.586961,0.07301366,-0.38061,1.549435,-0.04481385,-0.1182143,1.598842,0.3645095,-0.1271487,1.580449,NA,NA,Unknown,Open,
0.5874023,-0.597168,0.4643555,0.5473633,0.4970703,0.5761719,-6,-2,5,2,-1,-3,-10,-21,11,3,1,3,-5,-5,11,15,78,78,78,-90.0625,-90.0625,-90.0625,3.839882,3.987695,2.990412,6.116228,4.052505,6.054664,-0.01965472,-0.2618899,1.346347,0.2780136,-0.2869902,1.326578,0.180832,0.4054967,1.600343,0.02137365,-0.2749027,1.324069,0.2369321,-0.2964413,1.325177,0.1676677,-0.06414615,1.601881,0.1608445,-0.3895375,1.582112,-0.007666159,0.1404494,1.586988,0.07306088,-0.3803436,1.549353,-0.04321384,-0.115156,1.598945,0.3654671,-0.1174365,1.583393,NA,NA,Unknown,Open,
0.5083008,-0.4257813,0.6113281,0.4365234,0.4233398,0.6699219,7,-1,-6,2,-5,5,-27,-5,3,-4,2,-3,-9,0,8,16,23.9375,23.9375,23.9375,-2.8125,-2.8125,-2.8125,3.922609,4.162593,3.002521,6.035668,4.288348,6.034121,-0.03202008,-0.2267142,1.323442,0.2911675,-0.23901,1.311036,0.1806694,0.4054383,1.600307,0.004189296,-0.227413,1.326091,0.2491631,-0.2449362,1.289857,0.167423,-0.06426755,1.60178,0.1606649,-0.3896441,1.582257,-0.006978073,0.1360869,1.585945,0.07303324,-0.3802482,1.549485,-0.04324827,-0.1109038,1.597328,0.3647716,-0.1150477,1.582524,NA,NA,Unknown,Unknown,
0.5039063,-0.4902344,0.6518555,0.4228516,0.4541016,0.6640625,-10,-3,-1,-1,1,1,2,-10,6,7,5,-7,-7,5,22,16,20.0625,20.0625,20.0625,-5.6875,-5.6875,-5.6875,3.950177,4.299873,3.032701,6.0307,4.382262,6.014435,-0.03735392,-0.2099908,1.300043,0.2972444,-0.2100308,1.297268,0.1805954,0.4054792,1.600327,-0.002774952,-0.2058153,1.291923,0.2680147,-0.2131404,1.305539,0.1672325,-0.0642084,1.601725,0.1605531,-0.3895257,1.582328,-0.006555802,0.1348527,1.584821,0.07299405,-0.3801062,1.549647,-0.04284299,-0.1054527,1.59463,0.3633676,-0.1094932,1.578467,NA,NA,Unknown,Unknown,
0.4711914,-0.5512695,0.6806641,0.3745117,0.512207,0.7446289,3,3,10,2,-1,-16,29,20,1,5,2,-1,14,-5,5,3,9.5625,9.5625,9.5625,7.75,7.75,7.75,3.960254,4.350977,3.052372,6.042918,4.422313,6.017758,-0.03727511,-0.1982982,1.278557,0.2935458,-0.2004001,1.281085,0.1803381,0.4057952,1.600633,-0.03712068,-0.1745513,1.274714,0.2496676,-0.1979194,1.265857,0.1669059,-0.06376589,1.601773,0.1603456,-0.3889398,1.582532,-0.0066361,0.1384241,1.585508,0.07293117,-0.3794709,1.549858,-0.04186417,-0.101626,1.592697,0.3787033,-0.1152602,1.54315,NA,NA,Closed,Unknown,
0.3984375,-0.5302734,0.7158203,0.3242188,0.5463867,0.7719727,9,-3,-23,7,-1,6,20,13,6,-2,-8,9,22,-5,-11,13,-0.1875,-0.1875,-0.1875,3,3,3,3.96342,4.377345,3.066602,6.045808,4.425554,6.024792,-0.04023442,-0.1924551,1.280637,0.2886187,-0.1994991,1.274948,0.1802036,0.4061175,1.60075,-0.03890716,-0.1668968,1.2784,0.2317708,-0.195559,1.2065,0.1664893,-0.06349665,1.601727,0.1600603,-0.3888292,1.582624,-0.00639344,0.1340988,1.584214,0.07271764,-0.3793929,1.54993,-0.04407414,-0.1076176,1.579495,0.3812618,-0.1147294,1.544022,NA,NA,Closed,Unknown,
0.3188477,-0.5585938,0.7626953,0.3300781,0.6557617,0.7836914,-8,-1,-15,1,5,-4,-29,3,0,0,-4,-8,-9,0,-17,1,8,8,8,-8.875,-8.875,-8.875,3.964489,4.395612,3.079555,6.048492,4.441194,6.012512,-0.04239181,-0.1911781,1.277192,0.2895744,-0.1992191,1.275217,0.1801311,0.4062681,1.601058,-0.01016269,-0.1763355,1.219724,0.2441075,-0.1969204,1.243,0.1662831,-0.06340931,1.601727,0.1598215,-0.3888827,1.5826,-0.005847535,0.1326523,1.584059,0.07249811,-0.3794352,1.549858,-0.04448176,-0.1083673,1.580018,0.3778023,-0.1059937,1.559442,NA,NA,Closed,Unknown,
0.3466797,-0.6635742,0.7138672,0.3706055,0.6972656,0.7768555,-5,0,3,-1,-3,-13,-51,-40,5,-3,-2,-4,-4,5,-2,-4,23.25,23.25,23.25,-31.6875,-31.6875,-31.6875,3.966285,4.4156,3.128956,6.035574,4.478575,5.948747,-0.05511863,-0.1885659,1.277075,0.302307,-0.1926315,1.269203,0.1800612,0.4061956,1.601246,-0.05852786,-0.1621354,1.259,0.2527306,-0.1850039,1.1865,0.1661307,-0.06363946,1.601722,0.1595136,-0.3894919,1.582635,-0.005298723,0.1297453,1.583506,0.07218121,-0.3800202,1.549936,-0.04400874,-0.1187473,1.558444,0.3765159,-0.1192493,1.535937,NA,NA,Closed,Unknown,
0.3623047,-0.6933594,0.6264648,0.2988281,0.6049805,0.7124023,0,-5,-8,-5,-2,2,-1,-17,9,-1,-1,-2,-3,-4,12,6,24.125,24.125,24.125,-19,-19,-19,3.951092,4.444005,3.294608,6.038682,4.535186,5.810324,-0.07386969,-0.1853618,1.290143,0.3186793,-0.1822616,1.262654,0.180036,0.4062653,1.601318,-0.05904431,-0.1676502,1.239,0.2774957,-0.1664414,1.202,0.1660969,-0.06375306,1.601782,0.1594346,-0.389929,1.582829,-0.004992105,0.1283152,1.583231,0.07204679,-0.3805001,1.550222,-0.04107494,-0.1066304,1.585486,0.3565195,-0.1053795,1.580557,NA,NA,Closed,Unknown,
