ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9658203,-0.3164063,0.09472656,0.4208984,0.7666016,0.5185547,0,-2,-1,-2,-1,1,0,0,-3,-11,-1,0,7,1,2,1,-6.5625,-6.5625,-6.5625,111.5625,111.5625,111.5625,2.962931,3.043088,3.04793,6.615752,4.373103,1.809273,0.03740003,-0.4170441,1.529634,0.1976264,-0.2461398,1.449247,0.2347582,0.4021897,1.65842,-0.004419927,-0.4243342,1.538117,0.204888,-0.3058204,1.478267,0.2158703,-0.06698649,1.645145,0.2082866,-0.3938985,1.626199,0.03990747,0.1165192,1.617337,0.1197757,-0.3839549,1.592919,0.007143053,-0.135844,1.61588,0.4219967,-0.1100525,1.590991,NA,NA,NotTracked,Lasso,
0.9418945,-0.3168945,0.09863281,0.09033203,0.7426758,0.5322266,-1,3,1,-1,0,0,1,0,9,0,2,2,9,5,-1,2,-4.5,-4.5,-4.5,66.3125,66.3125,66.3125,2.956313,3.039636,3.043444,6.723938,4.811562,2.090193,0.04416357,-0.4478295,1.526002,0.1229637,-0.1577495,1.45761,0.2349192,0.4021492,1.659318,-0.004317162,-0.4669558,1.538276,0.1240046,-0.2160416,1.496,0.2159128,-0.06653673,1.645713,0.2083745,-0.3929434,1.62658,0.04079229,0.1170015,1.617624,0.12001,-0.3830755,1.593688,0.007293576,-0.1325927,1.616062,0.4158228,-0.1054621,1.559251,NA,NA,NotTracked,Lasso,
0.9438477,-0.2944336,0.08496094,-0.05029297,0.7568359,0.4482422,0,0,-3,-1,-2,0,0,1,22,-1,-2,1,14,-15,1,-1,-3.4375,-3.4375,-3.4375,52.125,52.125,52.125,2.943707,3.040132,3.045478,6.806596,5.074431,2.264137,0.04451587,-0.4480621,1.526075,0.1357087,-0.08317131,1.485584,0.2355706,0.402207,1.660907,-0.003956178,-0.466298,1.536994,0.1190229,-0.1416993,1.520205,0.2161903,-0.06576743,1.646439,0.2089309,-0.3913971,1.627034,0.04185417,0.1175176,1.618209,0.1210602,-0.381588,1.594585,0.009580634,-0.1463219,1.603217,0.4032451,-0.09992788,1.530205,NA,NA,NotTracked,Unknown,
0.9545898,-0.3203125,0.09228516,0.05566406,0.7163086,0.3754883,1,5,0,-2,-1,1,0,2,-7,-2,0,-3,-59,-21,-9,-6,-2.25,-2.25,-2.25,37.5,37.5,37.5,2.927617,3.038995,3.055712,6.912853,5.280066,2.445812,0.04425083,-0.4461646,1.526068,0.1397497,-0.0478393,1.500891,0.2362498,0.4021075,1.662575,-0.004035912,-0.4574752,1.5395,0.1155396,-0.1024173,1.526556,0.2164638,-0.06531908,1.646974,0.2091634,-0.3906623,1.627221,0.0411014,0.1165989,1.617301,0.1214569,-0.3810943,1.59477,0.01029367,-0.1414526,1.603356,0.3863878,-0.09409699,1.51318,NA,NA,NotTracked,Unknown,
0.9462891,-0.3037109,0.0625,-0.1147461,0.8618164,0.3491211,-1,1,-1,1,0,-2,-1,-2,-11,-1,-1,-24,-44,0,7,-4,3.6875,3.6875,3.6875,20,20,20,2.907118,3.040879,3.078674,6.961965,5.327907,2.532265,0.04309062,-0.440315,1.527037,0.08465449,0.01060081,1.508649,0.237063,0.4020025,1.664066,-0.005156485,-0.4529927,1.541667,0.1027903,-0.06560077,1.540536,0.2165997,-0.06492987,1.647627,0.2089847,-0.3901315,1.627419,0.04107719,0.1167832,1.617312,0.1213758,-0.3805904,1.595137,0.01119161,-0.1412989,1.608178,0.3735473,-0.09063066,1.503995,NA,NA,NotTracked,Unknown,
0.9228516,-0.3129883,0.07910156,-0.2255859,0.9472656,0.3476563,-3,5,-6,0,-1,-1,-4,-3,-17,5,8,10,-32,4,9,3,-0.25,-0.25,-0.25,25.0625,25.0625,25.0625,2.904462,3.04251,3.084396,7.008193,5.329616,2.599758,0.04109367,-0.4212304,1.529837,0.08438388,0.01769387,1.516061,0.2377388,0.4014397,1.66557,-0.005439357,-0.4345569,1.54275,0.0505784,-0.0311819,1.50155,0.2167526,-0.06487817,1.648102,0.2088993,-0.3899523,1.62745,0.04006184,0.1160971,1.616405,0.1213456,-0.3804507,1.595384,0.01197465,-0.1419856,1.611377,0.3649039,-0.08637157,1.495539,NA,NA,NotTracked,Unknown,
0.9379883,-0.3432617,0.09423828,-0.2285156,0.9189453,0.3032227,0,-2,-6,-1,-1,1,1,2,-3,-4,-1,7,0,-12,-5,4,-3.5625,-3.5625,-3.5625,39.25,39.25,39.25,2.896944,3.038789,3.089612,7.076932,5.33421,2.674744,0.04057747,-0.4207907,1.531793,0.1542705,-0.02767251,1.518087,0.2383756,0.4012378,1.666737,-0.00568737,-0.4241671,1.542824,0.1585499,-0.1096947,1.51227,0.2169429,-0.06456419,1.648748,0.2087647,-0.389365,1.627759,0.04005696,0.116207,1.616382,0.1213439,-0.3799402,1.596004,0.01223288,-0.1419137,1.613514,0.3553466,-0.07972978,1.485234,NA,NA,NotTracked,NotTracked,
0.9316406,-0.3623047,0.09960938,-0.1679688,0.8745117,0.2250977,-2,-8,13,0,1,0,-2,-1,-13,1,1,-11,-30,-3,-6,-4,-6.9375,-6.9375,-6.9375,23.75,23.75,23.75,2.892194,3.038989,3.083138,7.165617,5.359356,2.756305,0.04082676,-0.4203913,1.53153,0.08877514,0.02874023,1.529417,0.2390663,0.4012392,1.667811,-0.005344545,-0.4292025,1.541023,0.109453,-0.07332953,1.535228,0.217157,-0.06412815,1.649551,0.2087774,-0.3889093,1.628084,0.04006125,0.1163602,1.616159,0.1214444,-0.3795304,1.596781,0.01242489,-0.1403376,1.615213,0.3493641,-0.07506546,1.47898,NA,NA,NotTracked,NotTracked,
0.9355469,-0.3100586,0.08007813,-0.09912109,0.8730469,0.2470703,-1,3,13,1,-2,-2,-2,-1,103,-18,-10,-13,-5,-28,-21,10,-8.3125,-8.3125,-8.3125,17.9375,17.9375,17.9375,2.891623,3.040793,3.071422,7.189267,5.370633,2.781271,0.04072773,-0.4169903,1.530564,0.09289913,0.03120375,1.531252,0.239619,0.4011801,1.668491,-0.005289558,-0.4355033,1.542812,0.1099117,-0.06955931,1.534999,0.2173933,-0.06393608,1.650158,0.2089766,-0.3887487,1.6284,0.03935682,0.114991,1.614488,0.1217184,-0.3795883,1.597433,0.01261857,-0.1391291,1.615993,0.3414901,-0.06987219,1.472156,NA,NA,NotTracked,NotTracked,
0.9482422,-0.3120117,0.05810547,-0.08447266,0.9047852,0.1748047,0,3,9,-2,1,-3,-5,-4,-45,9,8,6,14,0,-4,7,-3.625,-3.625,-3.625,15.5625,15.5625,15.5625,2.886362,3.042127,3.064854,7.217148,5.364158,2.781968,0.04094787,-0.4174778,1.531227,0.09416874,0.03125962,1.53336,0.2400784,0.4012397,1.669422,-0.003914624,-0.413465,1.541069,0.1074241,-0.05090554,1.541964,0.2178122,-0.0637224,1.650952,0.2093264,-0.3885552,1.628751,0.0390951,0.1144106,1.614046,0.1222147,-0.3795444,1.598105,0.01285397,-0.1384526,1.616569,0.3382981,-0.06810752,1.47024,NA,NA,NotTracked,NotTracked,
