ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9287109,-0.3383789,0.1479492,0.918457,0.2973633,0.152832,-2,0,-2,0,-2,-2,-2,0,1,0,0,-2,-6,-2,1,6,-0.125,-0.125,-0.125,3.8125,3.8125,3.8125,3.150488,3.096288,3.945536,6.741327,3.049231,6.425386,0.005398084,-0.4340987,1.487015,0.3716586,-0.4312693,1.457069,0.2176071,0.404055,1.586002,-0.04081844,-0.4455131,1.495971,0.4114539,-0.4370472,1.456658,0.2077408,-0.06411503,1.583866,0.2042437,-0.3889166,1.565118,0.0276591,0.1214363,1.578971,0.1160998,-0.3796624,1.535659,-0.009471518,-0.1427319,1.58573,0.4124013,-0.1327884,1.560495,NA,NA,NotTracked,NotTracked,
0.9262695,-0.3198242,0.1411133,0.9331055,0.2861328,0.1499023,0,1,-1,-1,-2,-1,-1,0,-2,-2,0,-1,0,-9,0,1,3.875,3.875,3.875,-0.9375,-0.9375,-0.9375,3.155215,3.09815,3.947145,6.749237,3.045665,6.417572,0.005659327,-0.4351316,1.48763,0.3717224,-0.431605,1.457583,0.2174699,0.4040583,1.586416,-0.04034745,-0.4409643,1.495536,0.4086919,-0.4469794,1.450031,0.2077122,-0.0641683,1.583998,0.2041981,-0.3889627,1.565173,0.02753809,0.1213555,1.579321,0.1160491,-0.3797531,1.535748,-0.009568672,-0.142313,1.5863,0.4124233,-0.1327022,1.560479,NA,NA,NotTracked,NotTracked,
0.9272461,-0.3417969,0.1489258,0.9306641,0.3017578,0.1323242,0,-1,-1,0,-2,-1,0,-2,0,5,1,0,6,1,0,-5,3.3125,3.3125,3.3125,3.9375,3.9375,3.9375,3.157712,3.099409,3.947861,6.765206,3.041615,6.40706,0.005703409,-0.4358195,1.488693,0.371606,-0.4297037,1.458274,0.217344,0.40393,1.586699,-0.04047006,-0.4421118,1.499263,0.4096616,-0.4520158,1.448524,0.2076288,-0.06426487,1.584138,0.2041814,-0.3890364,1.565252,0.02738659,0.1212239,1.579615,0.1160229,-0.3798361,1.535851,-0.009638202,-0.1421824,1.586588,0.4125347,-0.1329346,1.56036,NA,NA,NotTracked,NotTracked,
0.9287109,-0.3413086,0.1503906,0.8994141,0.3291016,0.1621094,1,-2,-3,0,-1,0,-3,-2,-1,1,0,-1,2,0,0,1,-0.3125,-0.3125,-0.3125,-10.9375,-10.9375,-10.9375,3.158791,3.098858,3.947662,6.770273,3.047263,6.395092,0.005599752,-0.4353791,1.488784,0.3721437,-0.4299108,1.458397,0.2171865,0.4039684,1.587049,-0.04070287,-0.4424616,1.49972,0.4102429,-0.4506574,1.447418,0.2075505,-0.06431354,1.584339,0.2041709,-0.3890707,1.565388,0.02724807,0.1212218,1.580124,0.1160127,-0.3798926,1.536091,-0.009742741,-0.1422676,1.587077,0.4126331,-0.1333432,1.560342,NA,NA,NotTracked,NotTracked,
0.9223633,-0.3378906,0.1420898,0.9189453,0.4091797,0.08837891,-3,0,1,0,-2,-3,-1,1,-1,-2,1,-4,-15,-8,-4,-2,0.0625,0.0625,0.0625,-25.5,-25.5,-25.5,3.161016,3.099317,3.946304,6.794761,3.061387,6.345145,0.005677032,-0.4356933,1.489589,0.3734849,-0.4313656,1.456854,0.2169795,0.4039457,1.587222,-0.04046328,-0.4431055,1.498635,0.4130616,-0.4457829,1.450598,0.2074177,-0.06438347,1.584492,0.2041791,-0.3891814,1.565524,0.02701124,0.1211438,1.580669,0.116,-0.3800467,1.536303,-0.009826908,-0.1423838,1.587399,0.4123176,-0.1345999,1.560405,NA,NA,NotTracked,NotTracked,
0.9291992,-0.3442383,0.1542969,1.08252,0.4111328,0.05664063,-1,0,-3,-3,-2,-3,-2,-1,-1,6,25,8,-3,3,0,-1,-1.5625,-1.5625,-1.5625,-152.625,-152.625,-152.625,3.162245,3.100353,3.942649,6.716701,3.126053,6.228007,0.006040424,-0.4355932,1.489509,0.3704966,-0.4352123,1.444974,0.2167381,0.4040302,1.58756,-0.03994934,-0.4412879,1.499704,0.4139429,-0.4517981,1.425333,0.2073421,-0.0644598,1.584735,0.2042948,-0.3892882,1.56571,0.02673768,0.1209712,1.58111,0.1161179,-0.3801968,1.536503,-0.009942862,-0.1421015,1.587792,0.4123506,-0.1353159,1.560514,NA,NA,NotTracked,NotTracked,
0.9458008,-0.3364258,0.137207,1.068359,0.6035156,0.5097656,0,-1,6,-2,-1,-3,-2,-1,-17,16,-5,-2,22,0,-2,-3,0.375,0.375,0.375,-59.4375,-59.4375,-59.4375,3.162719,3.100888,3.94214,6.509169,3.409414,6.198112,0.006005131,-0.4380708,1.488038,0.3643107,-0.4079084,1.423481,0.2163771,0.4040521,1.58791,-0.03895921,-0.4465426,1.491841,0.3738248,-0.462258,1.412947,0.207144,-0.064551,1.585033,0.2041893,-0.3893689,1.565852,0.02684984,0.1211932,1.579457,0.1159966,-0.3802724,1.536624,-0.01005744,-0.1420359,1.587956,0.4135535,-0.1359096,1.561332,NA,NA,NotTracked,NotTracked,
0.9106445,-0.331543,0.1318359,0.6933594,0.7709961,0.6748047,-1,-3,-4,1,0,-2,-2,-2,13,32,-8,14,-1,2,2,-1,-2.9375,-2.9375,-2.9375,-3.625,-3.625,-3.625,3.161527,3.100152,3.940685,6.475565,3.796601,6.207175,0.005498764,-0.4378261,1.488247,0.3468495,-0.3446905,1.340271,0.2161128,0.4040162,1.5881,-0.04056602,-0.4440396,1.49767,0.3407307,-0.4103383,1.354667,0.2064397,-0.06454274,1.585392,0.2023911,-0.3892117,1.566578,0.02670528,0.121101,1.579901,0.1141863,-0.3799478,1.537195,-0.01013147,-0.14182,1.58809,0.4159229,-0.1347177,1.563007,NA,NA,NotTracked,Lasso,
0.9116211,-0.3544922,0.1650391,0.4204102,0.7143555,0.6923828,-2,-2,-1,-1,-1,0,-1,-2,-15,16,10,-3,1,0,-4,-3,-11.875,-11.875,-11.875,-33.0625,-33.0625,-33.0625,3.147991,3.094452,3.937598,6.441963,4.283192,6.191692,0.004823874,-0.4383739,1.489113,0.3249054,-0.2301141,1.281998,0.2160319,0.4040186,1.58809,-0.042132,-0.4549126,1.494273,0.3306603,-0.2720682,1.293625,0.2050615,-0.06433924,1.585722,0.1993292,-0.3887417,1.566918,0.02666908,0.1210935,1.579986,0.111262,-0.3793,1.537478,-0.01027983,-0.1412191,1.588166,0.4204115,-0.1147304,1.563177,NA,NA,NotTracked,Lasso,
0.9311523,-0.3286133,0.1591797,-0.006835938,0.7060547,0.5952148,-1,-1,-5,-1,-1,0,0,0,-8,-26,-9,4,-13,-5,-6,-6,-6.875,-6.875,-6.875,-14,-14,-14,3.14193,3.094752,3.931025,6.406823,4.988759,6.193563,0.004527553,-0.4393638,1.487225,0.3107382,-0.09540986,1.261493,0.2159963,0.4040078,1.588074,-0.04194292,-0.4482193,1.498688,0.2905232,-0.05377508,1.2435,0.2045214,-0.06418562,1.586192,0.1985401,-0.3883424,1.567322,0.02661524,0.1210934,1.580139,0.1105557,-0.3790364,1.537977,-0.01044416,-0.1411086,1.588183,0.4409175,-0.09497429,1.536334,NA,NA,NotTracked,Unknown,
